#metadata_invoices#;;;;;;;;;;;;;;;
partIndex;1;;;;;;;;;;;;;;
partCreationDate;20/02/2018 22:39;;;;;;;;;;;;;;
totalParts;1;;;;;;;;;;;;;;
totalSubscribers;5000;;;;;;;;;;;;;;
totalInvoices;5000;;;;;;;;;;;;;;
totalSubscriptions;5000;;;;;;;;;;;;;;
formatVersion;1.7.2;;;;;;;;;;;;;;
#globalinvoicedata#;;;;;;;;;;;;;;;
01/03/2018;01/03/2018;18/01/2018;17/02/2018;36/33/4336  3:33:33;17/02/2018 23:59;;;;;;;;;;
03/02/2018 21:07;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;10;10;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
03/02/2018 21:16;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;37;37;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
04/02/2018 23:03;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;198;198;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
06/02/2018 14:21;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;VOICE_MO;3422123;1;5;5;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
07/02/2018 9:10;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;VOICE_MO;3422123;1;5;5;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
08/02/2018 11:30;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;VOICE_MO;3422123;1;5;5;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
08/02/2018 21:04;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;VOICE_MO;34666611161;1;101;101;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
08/02/2018 21:07;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;VOICE_MO;;1;23;23;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
09/02/2018 11:57;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;VOICE_MO;3422123;1;5;5;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
09/02/2018 16:13;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;3422123;1;7;7;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
09/02/2018 16:13;Sms_Mo_HomeNetwork_NA_NatMobile_NA_AllDays_Lepanto;Sms_Mo_HomeNetwork_NA_NatMobile_NA_AllDays_Lepanto;SMS_MO;34625765335;1;1;1;0.080000;IVA;0.210000;0.016800;0.096800;0.000000;;
18/01/2018 1:44;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;442441;481280;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
18/01/2018 1:44;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;111395628;111452160;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
19/01/2018 0:11;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;1307786;1310720;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
19/01/2018 0:25;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;645739;655360;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
20/01/2018 10:03;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;1722025;1720320;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
20/01/2018 10:03;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;258591808;258652160;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
21/01/2018 11:49;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;655817;675840;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
21/01/2018 11:49;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;113915337;113940480;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
22/01/2018 2:55;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;0;0;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
22/01/2018 2:55;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;12061285;12062720;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
23/01/2018 12:27;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;0;0;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
23/01/2018 12:27;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;75485148;75489280;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
24/01/2018 1:17;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;120442;122880;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
24/01/2018 1:17;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;217125997;217128960;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
25/01/2018 3:46;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;9132;20480;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
25/01/2018 3:46;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;44819568;44830720;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
26/01/2018 0:52;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;1751646;1781760;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
26/01/2018 0:52;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;150215732;150251520;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
27/01/2018 21:45;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;1898052;1904640;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
27/01/2018 21:45;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;189958594;189962240;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
29/01/2018 14:16;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;322670;327680;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
29/01/2018 14:16;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;110850980;110858240;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
30/01/2018 0:10;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;947863;1003520;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
30/01/2018 0:10;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;187133578;187176960;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
31/01/2018 0:41;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;2015730;2027520;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
31/01/2018 0:41;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;229221532;229232640;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
01/02/2018 0:30;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;317558;317440;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
01/02/2018 0:30;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;40998314;40990720;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
02/02/2018 9:26;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;282615;286720;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
02/02/2018 9:26;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;295475674;295485440;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
03/02/2018 14:29;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;10032;20480;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
03/02/2018 14:29;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;26241449;26255360;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
04/02/2018 23:25;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;0;0;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
04/02/2018 23:25;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;21470;30720;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
05/02/2018 0:42;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;2724874;2744320;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
05/02/2018 0:42;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;523146877;523161600;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
06/02/2018 14:21;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;3168;10240;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
06/02/2018 14:21;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;170174692;170178560;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
07/02/2018 2:38;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;75304;92160;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
07/02/2018 2:38;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;142021337;142028800;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
08/02/2018 11:30;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;640375;655360;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
08/02/2018 11:30;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;121417161;121436160;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
09/02/2018 11:57;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;814793;839680;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
09/02/2018 11:57;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;1;156883256;156907520;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
10/02/2018 3:36;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;471366;491520;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
10/02/2018 3:36;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays;DATA_MO;;2;61499166;61511680;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
10/02/2018 19:22;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays_Lepanto;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays_Lepanto;DATA_MO;;2;382914;389120;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
11/02/2018 0:26;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;2;2112;20480;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
11/02/2018 0:26;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays_Lepanto;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays_Lepanto;DATA_MO;;2;7225277;7239680;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
12/02/2018 12:20;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays_Lepanto;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays_Lepanto;DATA_MO;;2;115184887;115189760;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
12/02/2018 14:18;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;1403342;1413120;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
13/02/2018 8:55;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Free_AllDays;DATA_MO;;1;1364758;1382400;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
13/02/2018 8:55;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays_Lepanto;Gprs_Mo_HomeGprsMCCMNC_NA_Internet_Normal_AllDays_Lepanto;DATA_MO;;1;101782943;101836800;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
14/02/2018 23:21;Gprs_Mo_RoamingIPZone3_NA_Internet_Free_AllDays;Gprs_Mo_RoamingIPZone3_NA_Internet_Free_AllDays;DATA_MO;;1;0;0;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
14/02/2018 23:21;Gprs_Mo_RoamingIPZone3_NA_Internet_Normal_AllDays;Gprs_Mo_RoamingIPZone3_NA_Internet_Normal_AllDays;DATA_MO;;1;0;0;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
14/02/2018 23:21;Gprs_Mo_RoamingIPZone3_NA_Internet_VoIP_AllDays;Gprs_Mo_RoamingIPZone3_NA_Internet_VoIP_AllDays;DATA_MO;;1;0;0;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
;Lepanto_Postpay;Lepanto_Postpay;producto;;1;404;404;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;Postpago;
;Zerolimites_Postpay;Zerolimites Postpay;producto;;1;404;404;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;Zerolimites;
;Planta_FAV_1;Planta_FAV_1;producto;;1;36;36;-1.239.669;IVA;0.210000;#¡CAMPO!;-1.499.999;0.000000;Reposicionamiento FAV 1;
;Refill_Data_1_Postpay;Refill_Data_1_Postpay;producto;;1;7;7;1.239.700;IVA;0.210000;0.260337;1.500.037;0.000000;Bonoplus 250MB;
;Septiembre_2017_D10_1_Postpay;Septiembre_2017_D10_1_Postpay;producto;;1;796;796;8.264.463;IVA;0.210000;1.735.537;10.000.000;0.000000;FAV 1;
;Discount;Discount;discount;;1;1;1;#¡CAMPO!;IVA;0.210000;#¡CAMPO!;#¡CAMPO!;0.000000;Descuento por invitación;
;Discount;Discount;discount;;1;1;1;#¡CAMPO!;IVA;0.210000;#¡CAMPO!;#¡CAMPO!;0.000000;Descuento por invitación;
#subscriber#;;;;;;;;;;;;;;;
37651753;863218736;0;0;0;00000000T;Francisco;Donaire;Pimentel;;;;;;ESPA;8710
#billing_account#;;;;;;;;;;;;;;;
1938734;;#¡CAMPO!;ES6410101010101010;first;;;;;;;;;;;
#invoice#;;;;;;;;;;;;;;;
1-201802-0000245808;33.620.000;IVA;0.210000;7.060.000;40.680.000;0.000000;40.680.000;40.680.000;;;;;;;
#subscription#;;;;;;;;;;;;;;;
131313;S14141414;600000023;33.622.220;IVA;0.210000;7.060.666;40.682.886;0.000000;18/01/2018;17/02/2018;;;;;
22/01/2018 19:18;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666613361;1;163;163;0.165300;IVA;0.210000;0.034713;0.200013;0.000000;;
22/01/2018 19:24;Call_Mo_HomeNetwork_NA_Superonnet_NA_AllDays;Call_Mo_HomeNetwork_NA_Superonnet_NA_AllDays;VOICE_MO;34666613361;1;945;945;0.165300;IVA;0.210000;0.034713;0.200013;0.000000;;
27/01/2018 19:39;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666613361;1;32;32;0.165300;IVA;0.210000;0.034713;0.200013;0.000000;;
